   ,Date      ,NewInfection,NewAsymptomatic,AllInfection,AllAsymptomatic,Death
0  ,2022-06-24,0           ,0              ,58135       ,591516         ,0
1  ,2022-06-23,2           ,1              ,58135       ,591516         ,0
2  ,2022-06-22,9           ,0              ,58133       ,591515         ,0
3  ,2022-06-21,4           ,4              ,58124       ,591515         ,0
4  ,2022-06-20,6           ,3              ,58120       ,591511         ,0
5  ,2022-06-19,10          ,3              ,58114       ,591508         ,0
6  ,2022-06-18,3           ,6              ,58104       ,591505         ,0
7  ,2022-06-17,1           ,6              ,58101       ,591499         ,0
8  ,2022-06-16,2           ,2              ,58100       ,591493         ,0
9  ,2022-06-15,9           ,7              ,58098       ,591491         ,0
10 ,2022-06-14,13          ,2              ,58089       ,591484         ,0
11 ,2022-06-13,3           ,14             ,58076       ,591482         ,0
12 ,2022-06-12,11          ,26             ,58073       ,591468         ,0
13 ,2022-06-11,10          ,19             ,58062       ,591442         ,0
14 ,2022-06-10,7           ,9              ,58052       ,591423         ,0
15 ,2022-06-09,6           ,5              ,58045       ,591414         ,0
16 ,2022-06-08,4           ,5              ,58039       ,591409         ,0
17 ,2022-06-07,4           ,11             ,58035       ,591404         ,0
18 ,2022-06-06,3           ,7              ,58031       ,591393         ,0
19 ,2022-06-05,4           ,4              ,58028       ,591386         ,0
20 ,2022-06-03,6           ,16             ,58024       ,591382         ,0
21 ,2022-06-03,5           ,9              ,58018       ,591366         ,0
22 ,2022-06-02,8           ,8              ,58013       ,591357         ,0
23 ,2022-06-01,5           ,8              ,58005       ,591349         ,0
24 ,2022-05-31,5           ,10             ,58000       ,591341         ,0
25 ,2022-05-30,9           ,22             ,57995       ,591331         ,0
26 ,2022-05-29,6           ,61             ,57986       ,591309         ,0
27 ,2022-05-28,29          ,93             ,57980       ,591248         ,0
28 ,2022-05-27,39          ,131            ,57951       ,591155         ,0
29 ,2022-05-26,45          ,219            ,57912       ,591024         ,0
30 ,2022-05-25,48          ,290            ,57867       ,590805         ,0
31 ,2022-05-24,44          ,343            ,57819       ,590515         ,0
